Project:,SAEON,Sub Project:,St Francis Bay Long Term Research
Time Series:,SFB80W_70m_008,Series Code:,SFBLTMRP_SFB80W_UTR_70m_1/7_008,Raw Data File:,80m_West_1.csv
Location:,St Francis Bay 80m West,Site:,St Francis Bay 80m West,GPS Name:,UTR - StF-80m-W,Mooring Type:,UTR Array,Mooring No:,
Latitude:,-34.170740,Longitude:,25.111620,LatShore:,-  .,LongShore:,  .,Distance (m):,
Interval (hr):,1,Total:,2201,Variables:,1
Deploy Depth (m):,70,Bottom Depth (m):,80,Bin No:,1,Total Bins:,7
Start Date:,2016-07-18,Start Time:,12:00:00
End Date:,2016-10-22,End Time:,08:00:00
Instrument:,Onset Hobo Pro v2 Water Temperature Logger,Serial No:,
Comment:,
Date (yyyy-mm-dd),Time (hh:mm:ss),Temperature (°C)
2016-07-27,09:00:00,11.516
2016-07-27,10:00:00,11.565
2016-07-27,11:00:00,11.589
2016-07-27,12:00:00,11.637
2016-07-27,13:00:00,11.686
2016-07-27,14:00:00,11.710
2016-07-27,15:00:00,11.734
2016-07-27,16:00:00,11.759
2016-07-27,17:00:00,11.783
2016-07-27,18:00:00,11.783
2016-07-27,19:00:00,11.783
2016-07-27,20:00:00,11.783
2016-07-27,21:00:00,11.783
2016-07-27,22:00:00,11.759
2016-07-27,23:00:00,11.710
2016-07-28,00:00:00,11.710
2016-07-28,01:00:00,11.686
2016-07-28,02:00:00,11.662
2016-07-28,03:00:00,11.662
2016-07-28,04:00:00,11.637
2016-07-28,05:00:00,11.637
2016-07-28,06:00:00,11.613
2016-07-28,07:00:00,11.613
2016-07-28,08:00:00,11.589
2016-07-28,09:00:00,11.589
2016-07-28,10:00:00,11.589
2016-07-28,11:00:00,11.589
2016-07-28,12:00:00,11.589
2016-07-28,13:00:00,11.613
2016-07-28,14:00:00,11.613
2016-07-28,15:00:00,11.637
2016-07-28,16:00:00,11.637
2016-07-28,17:00:00,11.613
2016-07-28,18:00:00,11.613
2016-07-28,19:00:00,11.589
2016-07-28,20:00:00,11.589
2016-07-28,21:00:00,11.589
2016-07-28,22:00:00,11.589
2016-07-28,23:00:00,11.589
2016-07-29,00:00:00,11.589
2016-07-29,01:00:00,11.589
2016-07-29,02:00:00,11.589
2016-07-29,03:00:00,11.589
2016-07-29,04:00:00,11.589
